"ensembl_gene_id"	"external_gene_name"	"mmusculus_homolog_ensembl_gene"	"mmusculus_homolog_associated_gene_name"	"mmusculus_homolog_perc_id"	"mmusculus_homolog_perc_id_r1"	"mmusculus_homolog_orthology_confidence"	"mmusculus_homolog_goc_score"	"Mean"
"14473"	"ENSG00000131943"	"C19orf12"	"ENSMUSG00000054676"	"1600014C10Rik"	75.6579	81.5603	1	100	78.6091
"61107"	"ENSG00000173557"	"C2orf70"	"ENSMUSG00000029182"	"1700001C02Rik"	67.6617	68	1	100	67.83085
"19799"	"ENSG00000214732"	"AL096814.1"	"ENSMUSG00000047150"	"1700001C19Rik"	60.6299	36.6667	0	75	48.6483
"33318"	"ENSG00000215217"	"C5orf49"	"ENSMUSG00000021534"	"1700001L19Rik"	73.4694	59.3407	1	75	66.40505
"22379"	"ENSG00000179058"	"C9orf50"	"ENSMUSG00000044320"	"1700001O22Rik"	41.2993	47.4667	0	75	44.383
"25919"	"ENSG00000275489"	"C17orf98"	"ENSMUSG00000018543"	"1700001P01Rik"	77.2727	76.7742	1	100	77.02345
"25885"	"ENSG00000149609"	"C20orf144"	"ENSMUSG00000038523"	"1700003F12Rik"	52.2876	40.6091	0	100	46.44835
"53769"	"ENSG00000160345"	"C9orf116"	"ENSMUSG00000026831"	"1700007K13Rik"	73.5294	59.8802	1	75	66.7048
"67041"	"ENSG00000235034"	"C19orf81"	"ENSMUSG00000008028"	"1700008O03Rik"	78.2828	79.0816	1	100	78.6822
"6606"	"ENSG00000112539"	"C6orf118"	"ENSMUSG00000023873"	"1700010I14Rik"	52.6652	46.4286	0	100	49.5469
"24260"	"ENSG00000237136"	"C4orf51"	"ENSMUSG00000031682"	"1700011L22Rik"	51.9802	50.4808	1	100	51.2305
"35020"	"ENSG00000257057"	"C11orf97"	"ENSMUSG00000031927"	"1700012B09Rik"	69.0476	71.9008	1	100	70.4742
"66174"	"ENSG00000157330"	"C1orf158"	"ENSMUSG00000028589"	"1700012P22Rik"	75.2577	74.4898	1	100	74.87375
"39276"	"ENSG00000179902"	"C1orf194"	"ENSMUSG00000027886"	"1700013F07Rik"	68.7898	64.2857	1	100	66.53775
"57492"	"ENSG00000255359"	"CCDC179"	"ENSMUSG00000094445"	"1700015G11Rik"	60.2941	61.194	1	75	60.74405
"7869"	"ENSG00000173728"	"C1orf100"	"ENSMUSG00000015962"	"1700016C15Rik"	67.3469	68.2759	1	100	67.8114
"14646"	"ENSG00000187624"	"C17orf97"	"ENSMUSG00000053783"	"1700016K19Rik"	32.8605	60.9649	0	100	46.9127
"64191"	"ENSG00000167173"	"C15orf39"	"ENSMUSG00000032300"	"1700017B05Rik"	75.2627	77.0284	1	50	76.14555
"6783"	"ENSG00000165805"	"C12orf50"	"ENSMUSG00000056912"	"1700017N19Rik"	82.1256	81.9277	1	100	82.02665
"7402"	"ENSG00000187699"	"C2orf88"	"ENSMUSG00000043629"	"1700019D03Rik"	57.8947	51.8868	1	75	54.89075
"30726"	"ENSG00000165863"	"C10orf82"	"ENSMUSG00000026931"	"1700019N19Rik"	60.6838	59.9156	1	100	60.2997
"36398"	"ENSG00000185115"	"NSMCE3"	"ENSMUSG00000100937"	"1700020D05Rik"	64.1447	66.3265	0	0	65.2356
"26292"	"ENSG00000270806"	"C17orf50"	"ENSMUSG00000035085"	"1700020L24Rik"	66.6667	61.3757	1	50	64.0212
"21061"	"ENSG00000130349"	"C6orf203"	"ENSMUSG00000019797"	"1700021F05Rik"	77.1429	78.75	1	100	77.94645
"58685"	"ENSG00000124237"	"C20orf85"	"ENSMUSG00000027518"	"1700021F07Rik"	70.8029	71.3235	1	100	71.0632
"13212"	"ENSG00000174038"	"C9orf131"	"ENSMUSG00000028451"	"1700022I11Rik"	47.7294	43.5334	0	100	45.6314
"16878"	"ENSG00000178645"	"C10orf53"	"ENSMUSG00000072473"	"1700024G13Rik"	36.3057	61.2903	0	75	48.798
"27530"	"ENSG00000274641"	"HIST1H2BO"	"ENSMUSG00000045022"	"1700024P04Rik"	42.0635	43.0894	0	0	42.57645
"6372"	"ENSG00000116667"	"C1orf21"	"ENSMUSG00000032666"	"1700025G04Rik"	96.6942	96.6942	1	100	96.6942
"43744"	"ENSG00000203910"	"C1orf146"	"ENSMUSG00000089798"	"1700028K03Rik"	82.2222	79.5699	1	75	80.89605
"32743"	"ENSG00000204711"	"C9orf135"	"ENSMUSG00000033053"	"1700028P14Rik"	62.8821	63.1579	1	100	63.02
"38847"	"ENSG00000283199"	"C13orf46"	"ENSMUSG00000031452"	"1700029H14Rik"	54.2453	48.5232	0	100	51.38425
"46200"	"ENSG00000234776"	"C11orf94"	"ENSMUSG00000044916"	"1700029I15Rik"	81.6327	80.8081	1	100	81.2204
"40190"	"ENSG00000205129"	"C4orf47"	"ENSMUSG00000071103"	"1700029J07Rik"	76.3754	74.6835	1	100	75.52945
"34321"	"ENSG00000166455"	"C16orf46"	"ENSMUSG00000031847"	"1700030J22Rik"	54.6835	52.8117	1	75	53.7476
"17466"	"ENSG00000105072"	"C19orf44"	"ENSMUSG00000052794"	"1700030K09Rik"	48.8584	50.078	0	100	49.4682
"55339"	"ENSG00000250803"	"AC010255.3"	"ENSMUSG00000024532"	"1700034E13Rik"	95.3704	95.3704	1	100	95.3704
"37041"	"ENSG00000214700"	"C12orf71"	"ENSMUSG00000040163"	"1700034J05Rik"	42.0074	37.5415	0	0	39.77445
"24387"	"ENSG00000215131"	"C16orf90"	"ENSMUSG00000005983"	"1700037C18Rik"	69.7802	74.269	1	75	72.0246
"18384"	"ENSG00000101220"	"C20orf27"	"ENSMUSG00000027327"	"1700037H04Rik"	77.3869	87.0057	1	100	82.1963
"61384"	"ENSG00000250719"	"P3R3URF"	"ENSMUSG00000078593"	"1700042G07Rik"	61.0526	64.4444	1	75	62.7485
"54764"	"ENSG00000283288"	"SMIM33"	"ENSMUSG00000073598"	"1700066B19Rik"	59.8485	62.2047	1	50	61.0266
"6160"	"ENSG00000178074"	"C2orf69"	"ENSMUSG00000038323"	"1700066M21Rik"	75.5844	79.726	1	100	77.6552
"63375"	"ENSG00000188032"	"C19orf67"	"ENSMUSG00000046408"	"1700067K01Rik"	70.9497	84.6667	1	100	77.8082
"51021"	"ENSG00000128346"	"C22orf23"	"ENSMUSG00000033029"	"1700088E04Rik"	80.1843	80.5556	1	100	80.36995
"68710"	"ENSG00000283268"	"TEX54"	"ENSMUSG00000090840"	"1700092M07Rik"	38.7097	55.814	0	100	47.26185
"28345"	"ENSG00000237651"	"C2orf74"	"ENSMUSG00000020286"	"1700093K21Rik"	56.5217	33.1633	0	100	44.8425
"15647"	"ENSG00000188315"	"C3orf62"	"ENSMUSG00000032611"	"1700102P08Rik"	74.9064	79.3651	1	100	77.13575
"58141"	"ENSG00000179088"	"C12orf42"	"ENSMUSG00000047129"	"1700113H08Rik"	41.9444	46.1774	0	100	44.0609
"20949"	"ENSG00000179933"	"C14orf119"	"ENSMUSG00000040822"	"1700123O20Rik"	84.2857	83.0986	1	100	83.69215
"14531"	"ENSG00000141371"	"C17orf64"	"ENSMUSG00000018479"	"1700125H20Rik"	72.8814	72.8814	1	100	72.8814
"21792"	"ENSG00000284713"	"SMIM38"	"ENSMUSG00000109305"	"1810010D01Rik"	66.6667	66.6667	1	75	66.6667
"36087"	"ENSG00000186665"	"C17orf58"	"ENSMUSG00000078607"	"1810010H24Rik"	88.6598	76.7857	1	75	82.72275
"66977"	"ENSG00000182831"	"C16orf72"	"ENSMUSG00000022507"	"1810013L24Rik"	97.8182	97.8182	1	100	97.8182
"21118"	"ENSG00000176731"	"C8orf59"	"ENSMUSG00000078784"	"1810022K09Rik"	76	54.6763	1	100	65.33815
"26526"	"ENSG00000185753"	"CXorf38"	"ENSMUSG00000044148"	"1810030O07Rik"	85.8934	85.625	1	100	85.7592
"61370"	"ENSG00000164096"	"C4orf3"	"ENSMUSG00000054091"	"1810037I17Rik"	22.6131	69.2308	0	100	45.92195
"64605"	"ENSG00000160226"	"CFAP410"	"ENSMUSG00000020284"	"1810043G02Rik"	49.8667	75.1004	0	100	62.48355
"57531"	"ENSG00000150750"	"C11orf53"	"ENSMUSG00000036027"	"1810046K07Rik"	82.2034	82.5532	1	100	82.3783
"59046"	"ENSG00000171067"	"C11orf24"	"ENSMUSG00000035372"	"1810055G02Rik"	47.216	54.0816	0	100	50.6488
"6047"	"ENSG00000173237"	"C11orf86"	"ENSMUSG00000042041"	"2010003K11Rik"	71.3043	66.129	1	75	68.71665
"20817"	"ENSG00000148120"	"C9orf3"	"ENSMUSG00000021458"	"2010111I01Rik"	76.3126	75.9417	1	100	76.12715
"36736"	"ENSG00000196872"	"KIAA1211L"	"ENSMUSG00000026090"	"2010300C02Rik"	64.0333	52.4255	1	100	58.2294
"63065"	"ENSG00000141854"	"MISP3"	"ENSMUSG00000074217"	"2210011C24Rik"	73.516	78.1553	1	100	75.83565
"45353"	"ENSG00000165118"	"C9orf64"	"ENSMUSG00000021550"	"2210016F16Rik"	76.2463	76.9231	1	100	76.5847
"61984"	"ENSG00000157895"	"C12orf43"	"ENSMUSG00000029559"	"2210016L21Rik"	56.9966	65.2344	1	75	61.1155
"41710"	"ENSG00000285946"	"AL162596.1"	"ENSMUSG00000103523"	"2210017I01Rik"	57.8947	57.8947	1	50	57.8947
"58033"	"ENSG00000204542"	"C6orf15"	"ENSMUSG00000039269"	"2300002M23Rik"	46.7692	43.553	0	100	45.1611
"34804"	"ENSG00000189227"	"C15orf61"	"ENSMUSG00000032403"	"2300009A05Rik"	92.3567	92.3567	1	100	92.3567
"6704"	"ENSG00000172478"	"MAB21L4"	"ENSMUSG00000034159"	"2310007B03Rik"	76.5101	75.6637	1	100	76.0869
"38345"	"ENSG00000203724"	"C1orf53"	"ENSMUSG00000079283"	"2310009B15Rik"	64.1379	68.3824	1	100	66.26015
"29225"	"ENSG00000119559"	"C19orf25"	"ENSMUSG00000020133"	"2310011J03Rik"	61.8644	66.9725	1	100	64.41845
"32599"	"ENSG00000160392"	"C19orf47"	"ENSMUSG00000049643"	"2310022A10Rik"	84.5972	86.4407	1	100	85.51895
"65808"	"ENSG00000119280"	"C1orf198"	"ENSMUSG00000031983"	"2310022B05Rik"	77.6758	78.882	1	100	78.2789
"16837"	"ENSG00000149300"	"C11orf52"	"ENSMUSG00000032062"	"2310030G06Rik"	62.6016	54.6099	1	100	58.60575
"61235"	"ENSG00000143793"	"C1orf35"	"ENSMUSG00000020441"	"2310033P09Rik"	79.8479	80.7692	1	100	80.30855
"6250"	"ENSG00000120055"	"C10orf95"	"ENSMUSG00000099655"	"2310034G01Rik"	53.9906	55.0239	1	75	54.50725
"24515"	"ENSG00000221821"	"C6orf226"	"ENSMUSG00000062619"	"2310039H08Rik"	49.505	43.8596	0	100	46.6823
"40158"	"ENSG00000198854"	"C1orf68"	"ENSMUSG00000090314"	"2310050C09Rik"	77.6	69.2857	1	50	73.44285
"30322"	"ENSG00000184530"	"C6orf58"	"ENSMUSG00000015519"	"2310057J18Rik"	54.8485	53.7092	1	100	54.27885
"59726"	"ENSG00000119965"	"C10orf88"	"ENSMUSG00000040177"	"2310057M21Rik"	70.5618	70.7207	1	75	70.64125
"62755"	"ENSG00000204564"	"C6orf136"	"ENSMUSG00000050705"	"2310061I04Rik"	49.1936	77.4603	0	100	63.32695
"44393"	"ENSG00000162642"	"C1orf52"	"ENSMUSG00000036873"	"2410004B18Rik"	84.6154	85.5556	1	100	85.0855
"42872"	"ENSG00000174917"	"MICOS13"	"ENSMUSG00000049760"	"2410015M20Rik"	67.8571	79.8319	1	100	73.8445
"60475"	"ENSG00000111412"	"C12orf49"	"ENSMUSG00000032840"	"2410131K14Rik"	92.6829	92.6829	1	100	92.6829
"58992"	"ENSG00000187068"	"C3orf70"	"ENSMUSG00000043391"	"2510009E07Rik"	92.8	93.5484	1	100	93.1742
"49484"	"ENSG00000116685"	"KIAA2013"	"ENSMUSG00000044496"	"2510039O18Rik"	91.1672	91.1672	1	100	91.1672
"36427"	"ENSG00000214194"	"SMIM30"	"ENSMUSG00000052419"	"2610001J05Rik"	91.5254	91.5254	1	100	91.5254
"21476"	"ENSG00000160298"	"C21orf58"	"ENSMUSG00000009114"	"2610028H24Rik"	40.9938	48.8889	0	75	44.94135
"28832"	"ENSG00000156172"	"C8orf37"	"ENSMUSG00000059482"	"2610301B20Rik"	77.7778	77.0335	1	75	77.40565
"59176"	"ENSG00000007202"	"KIAA0100"	"ENSMUSG00000010277"	"2610507B11Rik"	94.4966	94.5389	1	100	94.51775
"16293"	"ENSG00000188373"	"C10orf99"	"ENSMUSG00000096001"	"2610528A11Rik"	54.321	56.4103	1	100	55.36565
"50379"	"ENSG00000253313"	"C1orf210"	"ENSMUSG00000028536"	"2610528J11Rik"	73.4513	74.7748	1	100	74.11305
"48812"	"ENSG00000100578"	"KIAA0586"	"ENSMUSG00000034601"	"2700049A03Rik"	63.8686	69.0789	1	100	66.47375
"32271"	"ENSG00000141428"	"C18orf21"	"ENSMUSG00000024273"	"2700062C07Rik"	72.7273	73.7327	1	100	73.23
"55100"	"ENSG00000188070"	"C11orf95"	"ENSMUSG00000053080"	"2700081O15Rik"	88.2006	88.2006	1	100	88.2006
"65612"	"ENSG00000143633"	"C1orf131"	"ENSMUSG00000031984"	"2810004N23Rik"	63.4812	66.1922	1	100	64.8367
"7756"	"ENSG00000130921"	"C12orf65"	"ENSMUSG00000047635"	"2810006K23Rik"	77.1084	69.5652	1	100	73.3368
"61463"	"ENSG00000204128"	"C2orf72"	"ENSMUSG00000026227"	"2810459M11Rik"	69.1525	71.0801	1	100	70.1163
"59141"	"ENSG00000166780"	"C16orf45"	"ENSMUSG00000044117"	"2900011O08Rik"	94.6078	95.0739	1	100	94.84085
"28090"	"ENSG00000197077"	"KIAA1671"	"ENSMUSG00000051339"	"2900026A02Rik"	14.175	66.4935	0	100	40.33425
"24225"	"ENSG00000177025"	"C19orf18"	"ENSMUSG00000030385"	"2900092C05Rik"	39.5349	46.1957	0	25	42.8653
"36928"	"ENSG00000186132"	"C2orf76"	"ENSMUSG00000026388"	"3110009E18Rik"	81.746	81.746	1	100	81.746
"62960"	"ENSG00000169609"	"C15orf40"	"ENSMUSG00000025102"	"3110040N11Rik"	49.7006	65.873	0	75	57.7868
"27067"	"ENSG00000146540"	"C7orf50"	"ENSMUSG00000053553"	"3110082I17Rik"	61.8557	61.5385	1	100	61.6971
"65377"	"ENSG00000177354"	"C10orf71"	"ENSMUSG00000071540"	"3425401B19Rik"	65.1568	66.2181	1	100	65.68745
"23179"	"ENSG00000106686"	"SPATA6L"	"ENSMUSG00000064202"	"4430402I18Rik"	47.3054	45.5331	0	100	46.41925
"22982"	"ENSG00000172244"	"C5orf34"	"ENSMUSG00000062822"	"4833420G17Rik"	75.3919	75.2739	1	100	75.3329
"59318"	"ENSG00000183644"	"C11orf88"	"ENSMUSG00000032057"	"4833427G06Rik"	60.7143	70.8333	1	75	65.7738
"37229"	"ENSG00000122203"	"KIAA1191"	"ENSMUSG00000025871"	"4833439L19Rik"	80	80.5281	1	100	80.26405
"31458"	"ENSG00000179133"	"C10orf67"	"ENSMUSG00000026734"	"4921504E06Rik"	43.2432	14.2857	0	100	28.76445
"60012"	"ENSG00000153790"	"C7orf31"	"ENSMUSG00000029828"	"4921507P07Rik"	73.7288	73.9796	1	100	73.8542
"59728"	"ENSG00000155330"	"C16orf87"	"ENSMUSG00000036934"	"4921524J17Rik"	98.7013	98.7013	1	100	98.7013
"54522"	"ENSG00000187658"	"C5orf52"	"ENSMUSG00000020434"	"4921536K21Rik"	49.0566	46.4286	0	0	47.7426
"68276"	"ENSG00000203963"	"C1orf141"	"ENSMUSG00000028520"	"4921539E11Rik"	36.5	32.7354	0	50	34.6177
"62990"	"ENSG00000088854"	"C20orf194"	"ENSMUSG00000027309"	"4930402H24Rik"	84.1122	83.9695	1	100	84.04085
"15798"	"ENSG00000183397"	"C19orf71"	"ENSMUSG00000020234"	"4930404N11Rik"	57.4163	58.2524	1	75	57.83435
"49653"	"ENSG00000184208"	"C22orf46"	"ENSMUSG00000075524"	"4930407I10Rik"	54.7325	8.7963	0	100	31.7644
"68358"	"ENSG00000257987"	"TEX49"	"ENSMUSG00000022993"	"4930415O20Rik"	80.1527	80.1527	1	100	80.1527
"6826"	"ENSG00000133641"	"C12orf29"	"ENSMUSG00000046567"	"4930430F08Rik"	84.3077	83.792	1	100	84.04985
"35169"	"ENSG00000132016"	"C19orf57"	"ENSMUSG00000008129"	"4930432K21Rik"	34.8509	37	0	100	35.92545
"15534"	"ENSG00000274443"	"C8orf89"	"ENSMUSG00000067795"	"4930444P10Rik"	64.5963	67.5325	1	100	66.0644
"5876"	"ENSG00000179008"	"C14orf39"	"ENSMUSG00000021098"	"4930447C04Rik"	68.8245	70.3833	1	100	69.6039
"8030"	"ENSG00000167194"	"C16orf92"	"ENSMUSG00000045989"	"4930451I11Rik"	46.9697	55.8559	0	100	51.4128
"15773"	"ENSG00000163689"	"C3orf67"	"ENSMUSG00000021747"	"4930452B06Rik"	72.4689	60.5341	1	100	66.5015
"45809"	"ENSG00000179021"	"C3orf38"	"ENSMUSG00000059920"	"4930453N24Rik"	83.8906	79.3103	1	100	81.60045
"57101"	"ENSG00000166845"	"C18orf54"	"ENSMUSG00000044906"	"4930503L19Rik"	64.9156	65.7795	1	100	65.34755
"66984"	"ENSG00000177994"	"C2orf73"	"ENSMUSG00000040919"	"4930505A04Rik"	55.0523	67.8112	1	100	61.43175
"69069"	"ENSG00000204006"	"C1orf185"	"ENSMUSG00000060491"	"4930522H14Rik"	55.2764	47.8261	0	100	51.55125
"57614"	"ENSG00000235750"	"KIAA0040"	"ENSMUSG00000090394"	"4930523C07Rik"	71.7172	71.7172	1	100	71.7172
"28204"	"ENSG00000185056"	"C5orf47"	"ENSMUSG00000020299"	"4930524B15Rik"	46.0227	49.0909	0	75	47.5568
"12912"	"ENSG00000189325"	"C6orf222"	"ENSMUSG00000048905"	"4930539E08Rik"	47.546	46.3378	0	100	46.9419
"29106"	"ENSG00000205710"	"C17orf107"	"ENSMUSG00000087279"	"4930544D05Rik"	64.2105	71.345	1	100	67.77775
"17528"	"ENSG00000166323"	"C11orf65"	"ENSMUSG00000005131"	"4930550C14Rik"	69.968	69.5238	1	100	69.7459
"38181"	"ENSG00000283324"	"CTXND2"	"ENSMUSG00000105734"	"4930558C23Rik"	74.5455	69.4915	1	100	72.0185
"6524"	"ENSG00000180999"	"C1orf105"	"ENSMUSG00000086277"	"4930558K02Rik"	56.8306	57.1429	1	100	56.98675
"44974"	"ENSG00000205832"	"C16orf96"	"ENSMUSG00000022518"	"4930562C15Rik"	47.1516	46.9869	0	100	47.06925
"32155"	"ENSG00000147113"	"DIPK2B"	"ENSMUSG00000037358"	"4930578C19Rik"	80.8314	80.4598	1	50	80.6456
"52838"	"ENSG00000171060"	"C8orf74"	"ENSMUSG00000021961"	"4930578I06Rik"	68.7075	67.7852	1	100	68.24635
"43449"	"ENSG00000138813"	"C4orf17"	"ENSMUSG00000012042"	"4930579F01Rik"	48.468	53.5385	0	100	51.00325
"65469"	"ENSG00000205208"	"C4orf46"	"ENSMUSG00000027811"	"4930579G24Rik"	82.3009	83.7838	1	100	83.04235
"23068"	"ENSG00000131379"	"C3orf20"	"ENSMUSG00000034063"	"4930590J08Rik"	64.2699	62.2722	1	100	63.27105
"32855"	"ENSG00000179213"	"SIGLECL1"	"ENSMUSG00000013353"	"4931406B18Rik"	38.0711	20.436	0	75	29.25355
"13576"	"ENSG00000182919"	"C11orf54"	"ENSMUSG00000031938"	"4931406C07Rik"	87.9365	87.9365	1	100	87.9365
"17488"	"ENSG00000166398"	"KIAA0355"	"ENSMUSG00000066571"	"4931406P16Rik"	92.8972	93.8621	1	100	93.37965
"67651"	"ENSG00000278685"	"IQCA1L"	"ENSMUSG00000038199"	"4931409K22Rik"	73.9609	73.3333	1	100	73.6471
"15025"	"ENSG00000100802"	"C14orf93"	"ENSMUSG00000022179"	"4931414P19Rik"	87.1747	86.6913	1	100	86.933
"67033"	"ENSG00000196123"	"KIAA0895L"	"ENSMUSG00000014837"	"4931428F04Rik"	83.2272	83.94	1	100	83.5836
"29521"	"ENSG00000221843"	"C2orf16"	"ENSMUSG00000044581"	"4932415D10Rik"	42.3891	16.8672	0	0	29.62815
"63011"	"ENSG00000138688"	"KIAA1109"	"ENSMUSG00000037270"	"4932438A13Rik"	96.6633	96.6633	1	100	96.6633
"19567"	"ENSG00000205929"	"C21orf62"	"ENSMUSG00000039851"	"4932438H23Rik"	67.5799	64.3478	1	100	65.96385
"36652"	"ENSG00000116489"	"CAPZA1"	"ENSMUSG00000055357"	"4933400A11Rik"	68.1818	67.7083	0	0	67.94505
"47248"	"ENSG00000166152"	"C16orf78"	"ENSMUSG00000069971"	"4933402J07Rik"	51.6981	50.7407	1	100	51.2194
"58243"	"ENSG00000183559"	"C10orf120"	"ENSMUSG00000013668"	"4933402N03Rik"	48.9552	49.848	0	75	49.4016
"44261"	"ENSG00000159761"	"C16orf86"	"ENSMUSG00000013158"	"4933405L10Rik"	62.4606	64.4951	1	100	63.47785
"16110"	"ENSG00000203942"	"C10orf62"	"ENSMUSG00000090369"	"4933411K16Rik"	56.5022	41.4474	0	100	48.9748
"14164"	"ENSG00000173457"	"PPP1R14B"	"ENSMUSG00000073730"	"4933415F23Rik"	75.5102	72.549	0	0	74.0296
"19971"	"ENSG00000185689"	"C6orf201"	"ENSMUSG00000021415"	"4933417A18Rik"	52.8571	32.5991	0	100	42.7281
"16958"	"ENSG00000159496"	"RGL4"	"ENSMUSG00000030463"	"4933421I07Rik"	4.43975	9.81308	0	0	7.126415
"31431"	"ENSG00000228486"	"C2orf92"	"ENSMUSG00000102416"	"4933424G06Rik"	37.3585	37.0787	0	100	37.2186
"23431"	"ENSG00000198920"	"KIAA0753"	"ENSMUSG00000020807"	"4933427D14Rik"	75.181	75.8081	1	100	75.49455
"62330"	"ENSG00000157653"	"C9orf43"	"ENSMUSG00000058046"	"4933430I17Rik"	43.6009	40.6061	0	100	42.1035
"49611"	"ENSG00000143612"	"C1orf43"	"ENSMUSG00000027942"	"4933434E20Rik"	95.6522	95.6522	1	100	95.6522
"44775"	"ENSG00000100364"	"KIAA0930"	"ENSMUSG00000036046"	"5031439G07Rik"	92.176	84.34	1	100	88.258
"39314"	"ENSG00000116299"	"KIAA1324"	"ENSMUSG00000040412"	"5330417C22Rik"	90.2271	90.2271	1	100	90.2271
"27046"	"ENSG00000120280"	"CXorf21"	"ENSMUSG00000025058"	"5430427O19Rik"	83.3887	84.2282	1	100	83.80845
"43909"	"ENSG00000142686"	"C1orf216"	"ENSMUSG00000073755"	"5730409E04Rik"	82.9694	82.6087	1	100	82.78905
"49289"	"ENSG00000108666"	"C17orf75"	"ENSMUSG00000057181"	"5730455P16Rik"	88.6364	89.313	1	100	88.9747
"33043"	"ENSG00000163138"	"PACRGL"	"ENSMUSG00000029089"	"5730480H06Rik"	88.7097	88.7097	1	100	88.7097
"44591"	"ENSG00000284791"	"SMIM41"	"ENSMUSG00000075408"	"6030408B16Rik"	66.6667	43.0556	0	100	54.86115
"16187"	"ENSG00000082213"	"C5orf22"	"ENSMUSG00000022195"	"6030458C11Rik"	78.2805	78.2805	1	100	78.2805
"16046"	"ENSG00000187997"	"C17orf99"	"ENSMUSG00000025573"	"6030468B19Rik"	45.6604	48.0159	0	100	46.83815
"16714"	"ENSG00000286190"	"AC055839.2"	"ENSMUSG00000018451"	"6330403K07Rik"	73.1092	71.9008	1	50	72.505
"54912"	"ENSG00000135709"	"KIAA0513"	"ENSMUSG00000031824"	"6430548M08Rik"	88.8078	89.6806	1	100	89.2442
"45076"	"ENSG00000125975"	"C20orf173"	"ENSMUSG00000074646"	"6430550D23Rik"	40.5941	42.268	0	100	41.43105
"25467"	"ENSG00000088543"	"C3orf18"	"ENSMUSG00000037977"	"6430571L13Rik"	83.9506	82.9268	1	100	83.4387
"63981"	"ENSG00000282881"	"TMEM275"	"ENSMUSG00000034185"	"6430628N08Rik"	70.0565	70.0565	1	100	70.0565
"65504"	"ENSG00000196476"	"C20orf96"	"ENSMUSG00000032680"	"6820408C15Rik"	49.5868	50.8475	0	100	50.21715
"44451"	"ENSG00000152242"	"C18orf25"	"ENSMUSG00000047466"	"8030462N17Rik"	93.8119	94.9875	1	100	94.3997
