Human,Mice
KRTAP3-2,Krtap3-2
CAPS2,Caps2
TTLL2,Ttll2
LNPK,Lnpk
ESPN,Espn
SGK1,Sgk1
MRPL23,Mrpl23
RPTN,Rptn
AGR3,Agr3
RASA3,Rasa3
LIMCH1,Limch1
SCGN,Scgn
ZNF780B,Zfp780b
RBMX,Rbmx
HAPLN1,Hapln1
SF3B1,Sf3b1
PDE4B,Pde4b
EIF4B,Eif4b
TBX22,Tbx22
FAM122B,Fam122b
DOK5,Dok5
PCDHGB1,Pcdhgb1
ATPAF2,Atpaf2
IFNL2,Ifnl2
IGFBP7,Igfbp7
CCNO,Ccno
SLC39A7,Slc39a7
ASB10,Asb10
TMEM151A,Tmem151a
CDK5RAP1,Cdk5rap1
OR4X1,Olfr1268-ps1
CRB2,Crb2
SLC25A10,Slc25a10
ZNF235,Zfp235
RNU6-738P,Gm22951
DLG1,Dlg1
STAT1,Stat1
TRPM3,Trpm3
RAB35,Rab35
MAB21L3,Mab21l3
C14orf93,4931414P19Rik
SERPINE3,Serpine3
PPP1R17,Ppp1r17
TYW1,Tyw1
RAI1,Rai1
ADRA1A,Adra1a
POM121,Pom121
GCFC2,Gcfc2
SERPINA3,Serpina3n
CCL13,Ccl2
SMLR1,Smlr1
ZDHHC4,Zdhhc4
MRPS7,Mrps7
NR5A2,Nr5a2
SRC,Src
PKP1,Pkp1
MS4A7,Ms4a7
SIN3B,Sin3b
PLA2R1,Pla2r1
RAB11FIP4,Rab11fip4
SIGLEC1,Siglec1
CACNA1B,Cacna1b
MIR193B,Mir193b
FOXB1,Foxb1
SCN2A,Scn2a1
KDELR1,Kdelr1
SNORA11B,Gm22676
SLC25A48,Slc25a48
OR2L13,Olfr166
POLR3GL,Polr3gl
MCEE,Mcee
LIN7C,Lin7c
TOR1AIP2,Tor1aip2
TLR3,Tlr3
ARID3A,Arid3a
ZNF541,Zfp541
CAB39L,Cab39l
RF01946,Gm27395
SNORD35B,Snord35b
ANAPC5,Anapc5
ABLIM2,Ablim2
DLGAP5,Dlgap5
DNASE1,Dnase1
WDR91,Wdr91
USP28,Usp28
NKAIN1,Nkain1
TLCD2,Tlcd2
TMEM129,Tmem129
KBTBD6,Zbtbd6
KIRREL1,Kirrel
MEX3D,Mex3d
PPIP5K1,Ppip5k1
S1PR3,S1pr3
DNAH17,Dnah17
DAAM1,Daam1
TIA1,Tia1
ZCCHC9,Zcchc9
KCNQ5,Kcnq5
RNU6-29P,Gm25684
PRAM1,Pram1
PHYH,Phyh
GALNT9,Galnt9
MOSPD2,Mospd2
RAP1GAP,Rap1gap
APMAP,Apmap
RAB39B,Rab39b
RNASEH2B,Rnaseh2b
KDM4B,Kdm4b
RNU6-200P,Gm23506
OR52A5,Olfr69
PPIL1,Ppil1
PLAUR,Plaur
PRDM15,Prdm15
PSMF1,Psmf1
IGLL5,Igll1
IZUMO1R,Izumo1r
PTPRM,Ptprm
THAP4,Thap4
HYPM,Hypm
RPS20,Rps20
GPR37L1,Gpr37l1
RPSA,Rpsa
KCNJ8,Kcnj8
ARHGAP1,Arhgap1
KCNE3,Kcne3
ARMH2,Armh2
C6orf89,BC004004
PEX13,Pex13
SPINK4,Spink4
IL17RC,Il17rc
TLX3,Tlx3
MIR339,Mir339
FGF23,Fgf23
HOOK1,Hook1
GIPC2,Gipc2
OR8D4,Olfr985
KIF1BP,Kif1bp
NT5C1B,Nt5c1b
PRR23A,Prr23a
FOCAD,Focad
SERF2,Serf2
CYB5R3,Cyb5r3
RNF169,Rnf169
MAP4K1,Map4k1
RF01892,Gm27624
RF01964,Gm27419
FGF8,Fgf8
MIR26B,Mir26b
ZC3H15,Zc3h15
POLA2,Pola2
VASH1,Vash1
CHMP4C,Chmp4c
COPZ2,Copz2
C7orf57,Gm11992
ERI3,Eri3
PTGFRN,Ptgfrn
STK4,Stk4
UPRT,Uprt
IGSF1,Igsf1
ACBD6,Acbd6
TOMM6,Tomm6
KIR3DL1,Kir3dl1
RIPK3,Ripk3
DGKA,Dgka
H1FNT,H1fnt
TIMELESS,Timeless
GFRA1,Gfra1
DCAF10,Dcaf10
NR4A3,Nr4a3
LTB4R,Ltb4r1
TAOK1,Taok1
RNF220,Rnf220
DMPK,Dmpk
HOOK2,Hook2
CLIP3,Clip3
CCIN,Ccin
ZNF236,Zfp236
PLAA,Plaa
C7orf31,4921507P07Rik
CTSH,Ctsh
RING1,Ring1
MARVELD1,Marveld1
CD3D,Cd3d
CCN6,Ccn6
SEMA4C,Sema4c
SLC39A14,Slc39a14
TTC17,Ttc17
SELENOW,Selenow
PLEKHA2,Plekha2
INTS1,Ints1
YWHAG,Ywhag
STK3,Stk3
MED21,Med21
ABL1,Abl1
DUSP11,Dusp11
HSPH1,Hsph1
ARF5,Arf5
KRT9,Krt9
PTPRK,Ptprk
CD55,Cd55
SERPINH1,Serpinh1
TMEM200C,Tmem200c
RNU4-89P,Gm26254
C4orf51,1700011L22Rik
ZNF226,Zfp111
RAP2B,Rap2b
CDC42EP2,Cdc42ep2
NIPSNAP1,Nipsnap1
TRIM52,Trim52
FBXW8,Fbxw8
TACC3,Tacc3
MAJIN,Majin
SH2D5,Sh2d5
PLCXD2,Plcxd2
BOLL,Boll
TPD52L3,Trpd52l3
STPG4,Stpg4
TELO2,Telo2
PDP1,Pdp1
GYG1,Gyg
PCDH7,Pcdh7
KLHL17,Klhl17
EPS15,Eps15
TTYH3,Ttyh3
B4GALT1,B4galt1
CYB5B,Cyb5b
CD8A,Cd8a
MEP1B,Mep1b
KRTAP12-1,LOC101056229
TTC28,Ttc28
KIF1B,Kif1b
UTP18,Utp18
SLC8A2,Slc8a2
TMEM57,Tmem57
NODAL,Nodal
GRAP,Grap
AC008736.1,Tdrd12
ANO9,Ano9
FAM3A,Fam3a
S1PR4,S1pr4
C1orf116,AA986860
SNORA19,Snora19
CD81,Cd81
OR5B3,Olfr1463
IDS,Ids
PMF1-BGLAP,Pmf1
FLG2,Flg2
ENO3,Eno3
CNRIP1,Cnrip1
CALHM4,Calhm4
ITPR3,Itpr3
SLC35A2,Slc35a2
ZNF692,Zfp692
NDRG1,Ndrg1
GTPBP3,Gtpbp3
BMT2,Bmt2
SLC7A2,Slc7a2
GADD45A,Gadd45a
C2orf42,C87436
SFSWAP,Sfswap
LDLRAD1,Ldlrad1
LRIG1,Lrig1
PHYHIPL,Phyhipl
WDR75,Wdr75
PAQR3,Paqr3
ARHGDIA,Arhgdia
LRCH1,Lrch1
ALOX12,Alox12
ZNF740,Zfp740
FAM229B,Fam229b
SNX5,Snx5
FOXE3,Foxe3
PLAC8L1,Plac8l1
GNMT,Gnmt
HDDC2,Hddc2
DHCR7,Dhcr7
CEP135,Cep135
HERC3,Herc3
ME3,Me3
SPO11,Spo11
C14orf132,D430019H16Rik
MOSMO,Mosmo
OR11G2,Olfr744
RPL5,Rpl5
OR10G4,Olfr980
FOXG1,Foxg1
ADRA1B,Adra1b
FAN1,Fan1
GALR1,Galr1
TRIM58,Trim58
DENND4B,Dennd4b
CMPK2,Cmpk2
WDR26,Wdr26
ARHGEF3,Arhgef3
NFATC4,Nfatc4
PERP,Perp
IL5,Il5
ANKRD62,Ankrd26
B4GAT1,B4gat1
TMEM70,Tmem70
PLEC,Plec
MIR150,Mir150
GCH1,Gch1
SNW1,Snw1
UBE3A,Ube3a
GJA8,Gja8
C2CD4A,C2cd4a
C1QTNF5,C1qtnf5
SOCS1,Socs1
ABI2,Abi2
NAT10,Nat10
PTGER1,Ptger1
DHX34,Dhx34
ARFGEF2,Arfgef2
MRPL21,Mrpl21
SPX,Spx
DLG5,Dlg5
CC2D2A,Cc2d2a
SMO,Smo
SOCS5,Socs5
PCDHB7,Pcdhb15
CAPZA3,Capza3
DPF2,Dpf2
CHRNB4,Chrnb4
STPG1,Stpg1
KLHL34,Klhl34
NPBWR1,Npbwr1
CPNE9,Cpne9
PDE6G,Pde6g
RTL6,Rtl6
DCUN1D5,Dcun1d5
PCDHGA7,Pcdhga7
UCMA,Ucma
MLLT6,Mllt6
PITX2,Pitx2
ZNF865,Zfp865
TMEM168,Tmem168
ALDH2,Aldh2
ECE1,Ece1
SQSTM1,Sqstm1
CCDC71L,Ccdc71l
DUT,Dut
PFN1,Pfn1
LOXL2,Loxl2
ATP23,Atp23
OR4A15,Olfr1234
RF00635,Gm22842
CYB5RL,Cyb5rl
TFAM,Tfam
LPAR6,Lpar6
OR4C6,Olfr1230
RAPSN,Rapsn
RFNG,Rfng
ZNF687,Zfp687
DTX3L,Dtx3l
MUSK,Musk
ATP8B4,Atp8b4
OR5AN1,Olfr1433
DOK1,Dok1
PKNOX2,Pknox2
HCAR1,Gpr81
RPL28,Rpl28
SNX7,Snx7
CCDC86,Ccdc86
RASL11A,Rasl11a
PLIN3,Plin3
C6orf118,1700010I14Rik
CLTRN,Cltrn
ALKBH4,Alkbh4
ZNF746,Zfp746
LMAN1,Lman1
BTG3,Btg3
ANKMY2,Ankmy2
TMCO5A,Tmco5
LARGE1,Large1
PDZK1,Pdzk1
GIMD1,Gm5549
GXYLT2,Gxylt2
DLK2,Dlk2
OR2K2,Olfr267
SLC25A12,Slc25a12
SERPIND1,Serpind1
ENC1,Enc1
CBLN1,Cbln1
HLX,Hlx
HIGD1B,Higd1b
BCAM,Bcam
PCDHGA10,Pcdhga10
NCAPG2,Ncapg2
GGT1,Ggt1
PIGA,Piga
PCYT1A,Pcyt1a
MPC2,Mpc2
BANF2,Banf2
ZNF131,Zfp131
CD63,Cd63
KLF3,Klf3
SLAIN2,Slain2
CD53,Cd53
SACS,Sacs
LZTFL1,Lztfl1
MICOS13,2410015M20Rik
C15orf40,3110040N11Rik
SMAP2,Smap2
LIME1,Lime1
PFKFB2,Pfkfb2
IZUMO4,Izumo4
PDLIM7,Pdlim7
C1orf53,2310009B15Rik
YKT6,Ykt6
BMP3,Bmp3
MIR208A,Mir208a
MYH15,Myh15
INSIG1,Insig1
DEPDC7,Depdc7
PBX4,Pbx4
PPHLN1,Pphln1
GPR153,Gpr153
STX1B,Stx1b
ETFB,Etfb
LRRC8E,Lrrc8e
TMEM127,Tmem127
AL589666.1,Gm20537
ZBTB33,Zbtb33
TWSG1,Twsg1
MECP2,Mecp2
STUM,Stum
ASMT,Asmt
WFIKKN2,Wfikkn2
MEPCE,Mepce
SLC25A33,Slc25a33
REM1,Rem1
SLC22A7,Slc22a7
GJB3,Gjb3
MPP4,Mpp4
PITRM1,Pitrm1
MSH6,Msh6
RPL14,Rpl14
TMEM42,Tmem42
CHRM4,Chrm4
VWA8,Vwa8
CHRNB2,Chrnb2
FAM49B,Fam49b
PRR5L,Prr5l
MFGE8,Mfge8
CFAP157,Cfap157
EFHD1,Efhd1
MIR29B2,Mir29b-2
BARD1,Bard1
RF01975,Gm27867
REC8,Rec8
ZP2,Zp2
C8orf76,9130401M01Rik
SLC4A10,Slc4a10
LAMP1,Lamp1
CROCC,Crocc
UBE2Q2,Ube2q2
SUCLG1,Suclg1
ATG7,Atg7
SARDH,Sardh
ENPP4,Enpp4
SLC38A9,Slc38a9
CCDC112,Ccdc112
AL162596.1,2210017I01Rik
FGF2,Fgf2
PLBD1,Plbd1
TECR,Tecr
PUM3,Pum3
NFYC,Nfyc
CPEB2,Cpeb2
BLNK,Blnk
CCT3,Cct3
HIVEP2,Hivep2
AAR2,Aar2
TNFRSF17,Tnfrsf17
DLL1,Dll1
RF00601,Gm26215
TG,Tg
OR5R1,Olfr1038-ps
HBEGF,Hbegf
IL10RA,Il10ra
LYRM7,Lyrm7
KMO,Kmo
CCDC85C,Ccdc85c
FBXL7,Fbxl7
SCN8A,Scn8a
COIL,Coil
SLC2A9,Slc2a9
GFOD1,Gfod1
CHMP5,Chmp5
MAST1,Mast1
AADAT,Aadat
OFD1,Ofd1
GPR142,Gpr142
TC2N,Tc2n
DDX59,Ddx59
LMCD1,Lmcd1
BIK,Bik
AHCYL1,Ahcyl1
SAPCD1,Sapcd1
C6orf15,2300002M23Rik
HSD17B14,Hsd17b14
FAM117B,Fam117b
RIBC2,Ribc2
SNORD90,Snord90
SHCBP1L,Shcbp1l
CREG2,Creg2
B9D2,B9d2
POLRMT,Polrmt
CISD1,Cisd1
C17orf50,1700020L24Rik
RF02138,Gm27492
DPYSL4,Dpysl4
GUF1,Guf1
WBP1L,Wbp1l
ARPC3,Arpc3
C1orf123,0610037L13Rik
CORO7-PAM16,Coro7
RTCA,Rtca
MOGAT1,Mogat1
CHCHD7,Chchd7
TSPOAP1,Tspoap1
RNU6ATAC,Gm24831
HNRNPM,Hnrnpm
HEG1,Heg1
EEF1AKMT2,Eef1akmt2
RNU6-892P,Gm22080
KANK3,Kank3
ZNF329,Zfp329
GTF2H2,Gtf2h2
CPEB3,Cpeb3
TIMM17A,Timm17a
ERI2,Eri2
SGCA,Sgca
GSTT2,Gstt2
DFFB,Dffb
SYNJ2,Synj2
TOMM40,Tomm40
TIFAB,Tifab
ERCC1,Ercc1
NRON,Nron
PIGG,Pigg
C1orf52,2410004B18Rik
MTAP,Mtap
SAT1,Sat1
RHPN2,Rhpn2
ARF6,Arf6
TRAF3IP3,Traf3ip3
XPO7,Xpo7
OR1J4,Olfr350
SFN,Sfn
THYN1,Thyn1
QPCTL,Qpctl
RNU6-470P,Gm22148
CAAP1,Caap1
APOE,Apoe
IRX1,Irx1
KLHL10,Klhl10
APC,Apc
SH2D3C,Sh2d3c
SYT14,Syt14
CITED4,Cited4
KIAA1211L,2010300C02Rik
BSND,Bsnd
RPL26,Rpl26
NFATC1,Nfatc1
TGFB1I1,Tgfb1i1
PTGIR,Ptgir
PREPL,Prepl
MIR187,Mir187
LST1,Lst1
CCDC182,1700106J16Rik
RFWD3,Rfwd3
BHLHE40,Bhlhe40
MARCH2,March2
GLE1,Gle1
IGSF3,Igsf3
MS4A5,Ms4a5
PTPRR,Ptprr
OR52N4,Olfr658
MED12,Med12
POLH,Polh
ZFPM1,Zfpm1
ERMAP,Ermap
CCDC169,Ccdc169
PSAT1,Psat1
INKA1,Inka1
RASGEF1B,Rasgef1b
FCRL1,Fcrl1
MYO10,Myo10
OR52L1,Olfr685
PAQR8,Paqr8
MTA2,Mta2
RN7SKP209,Gm26069
LTA,Lta
NEK5,Nek5
NEURL1,Neurl1a
CYP1A2,Cyp1a2
SCAPER,Scaper
NMNAT3,Nmnat3
RUFY3,Rufy3
WFDC2,Wfdc2
RBM12B,Rbm12b2
SPINT2,Spint2
PRR35,A930017K11Rik
G6PC,G6pc
RNU6-1129P,Gm26076
KREMEN1,Kremen1
MIR34C,Mir34c
KLHL20,Klhl20
SELL,Sell
NKD2,Nkd2
KPNA3,Kpna3
ADAR,Adar
RN7SL77P,Gm22876
DUSP22,Dusp22
NECTIN2,Nectin2
MSRB3,Msrb3
AP1S1,Ap1s1
PEA15,Pea15a
EFNB3,Efnb3
MEF2B,Mef2b
TMEM164,Tmem164
LGMN,Lgmn
ARRB2,Arrb2
SLC35B3,Slc35b3
TRRAP,Trrap
OR52N2,Olfr666
UBXN7,Ubxn7
ZNF646,Zfp646
SF3A1,Sf3a1
GNG5,Gng5
NAV1,Nav1
TMEM50B,Tmem50b
RIMKLB,Rimklb
ERLIN1,Erlin1
KRTAP12-2,Gm10024
OTOP3,Otop3
MOGAT2,Mogat2
SNORA36B,Snora36b
SENP2,Senp2
PCDHGC5,Pcdhgc5
HNRNPA0,Hnrnpa0
NCOA5,Ncoa5
MIR199A2,Mir199a-2
FAM47A,Fam47c
NOG,Nog
ZNF846,Zfp846
ZNF423,Zfp423
C12orf60,BC049715
DNMT3A,Dnmt3a
ATP13A3,Atp13a3
FAM50B,Fam50b
DBNDD1,Dbndd1
FAM192A,Fam192a
HEPHL1,Hephl1
BSN,Bsn
TAGLN3,Tagln3
PSMB9,Psmb9
SERPINB8,Serpinb8
PUF60,Puf60
IGSF8,Igsf8
UPK1B,Upk1b
TOX,Tox
NCBP1,Ncbp1
RNF150,Rnf150
MED23,Med23
C12orf57,Grcc10
LINGO2,Lingo2
MORN3,Morn3
F2RL3,F2rl3
AMOTL2,Amotl2
RPA2,Rpa2
WIPI2,Wipi2
RF02118,Gm27838
TMEM269,Tmem269
GRAP2,Grap2
UMPS,Umps
USH2A,Ush2a
ROGDI,Rogdi
CNTFR,Cntfr
PSME1,Psme1
EIF4E,Eif4e
CCNA1,Ccna1
MIEN1,Mien1
AMOT,Amot
SLC6A7,Slc6a7
KCNK9,Kcnk9
TGFB3,Tgfb3
CA9,Car9
MAPKBP1,Mapkbp1
GGT6,Ggt6
SURF2,Surf2
NUBP1,Nubp1
NFKBID,Nfkbid
IFIT2,Ifit2
CPA6,Cpa6
OR8B4,Olfr878
SLC45A1,Slc45a1
VIM,Vim
SERPINB7,Serpinb7
RNU6-757P,Gm22818
CCSER1,Ccser1
RPS6KL1,Rps6kl1
KRTAP3-3,Krtap3-3
KCNK13,Kcnk13
TCF20,Tcf20
SNORA64,Snora64
MMP12,Mmp12
C14orf80,4930427A07Rik
CAPN9,Capn9
NUP43,Nup43
DMRTA1,Dmrta1
KIAA1549,D630045J12Rik
MICU1,Micu1
MYADM,Myadm
MIR122,Mir122
SNORA69,Snora69
C16orf59,1600002H07Rik
TSGA10IP,Tsga10ip
DTX3,Dtx3
TSPAN17,Tspan17
ADAMTS7,Adamts7
ZNF627,Zfp867
ZNF546,Zfp11
SLITRK5,Slitrk5
NUTF2,Nutf2
ATP5MD,Usmg5
PRAP1,Prap1
LAMTOR4,Lamtor4
GDNF,Gdnf
GUCY1A2,Gucy1a2
SEC11A,Sec11a
ATRN,Atrn
RNU6-1315P,Gm25141
PNRC2,Pnrc2
CDR1,Cdr1
FZR1,Fzr1
APOM,Apom
CCDC110,Ccdc110
PPEF2,Ppef2
PNISR,Sfrs18
PRKD2,Prkd2
APLP2,Aplp2
PAIP2,Paip2
NDUFAF2,Ndufaf2
PAX6,Pax6
CMPK1,Cmpk1
LRPAP1,Lrpap1
NTNG2,Ntng2
SLC9B2,Slc9b2
GRIK3,Grik3
BIN1,Bin1
STXBP5L,Stxbp5l
CCDC3,Ccdc3
AC010616.1,Gm4881
TSACC,Tsacc
FBXO42,Fbxo42
MIR186,Mir186
ARHGAP36,Arhgap36
RNU6-120P,Gm25897
DUSP5,Dusp5
RF02038,Gm27369
ANKDD1A,A730067D02Rik
CNN1,Cnn1
HLA-DMA,H2-DMa
ATG14,Atg14
JAK3,Jak3
SNORD99,Snord99
RF02041,Gm27985
PDSS2,Pdss2
P2RX3,P2rx3
YEATS4,Yeats4
PF4,Pf4
CGRRF1,Cgrrf1
SUPT20H,Supt20
SNORA20B,Gm24615
G2E3,G2e3
CA12,Car12
MAN1B1,Man1b1
SHMT2,Shmt2
TNS1,Tns1
OTUB2,Otub2
SCRIB,Scrib
BTN3A1,Gm36028
KAT14,Kat14
OBP2A,Obp2b
RPN2,Rpn2
CHM,Chm
ILF3,Ilf3
PTPRS,Ptprs
CUL9,Cul9
WDR4,Wdr4
WFDC5,Wfdc5
CCDC93,Ccdc93
MALRD1,LOC102635496
A4GNT,A4gnt
DZIP1,Dzip1
GAPT,Gapt
HSPA4,Hspa4
CA1,Car1
RNF113A,Rnf113a2
TIMP1,Timp1
FEZ1,Fez1
FBXL17,Fbxl17
PURB,Purb
PAK1IP1,Pak1ip1
IL2,Il2
PSMB7,Psmb7
KIF17,Kif17
FGF9,Fgf9
CACYBP,Cacybp
TMEM141,Tmem141
SFXN5,Sfxn5
KRT83,5430421N21Rik
TCL1A,Tcl1
ASB12,Asb12
CNGB1,Cngb1
CASQ2,Casq2
NOTCH4,Notch4
RN7SKP53,Gm22219
CDV3,Cdv3
MSH4,Msh4
PDRG1,Pdrg1
MYO19,Myo19
HFE2,Hfe2
AOC1,Aoc1
NUDT2,Nudt2
LRP1,Lrp1
CCDC39,Ccdc39
GAP43,Gap43
FAM184B,Fam184b
RYR2,Ryr2
SLC1A5,Slc1a5
SPACA3,Spaca3
TMEM107,Tmem107
ADGRG1,Adgrg1
RBFOX2,Rbfox2
NR3C1,Nr3c1
TAX1BP1,Tax1bp1
KLF9,Klf9
RF02250,Gm27275
AC087498.1,Olfr398
TRAPPC13,Trappc13
VPS35,Vps35
MFSD13A,Mfsd13a
DAP,Dap
PFAS,Pfas
RF00100,Gm22515
RGS21,Rgs21
GXYLT1,Gxylt1
ZNF575,Zfp575
RCAN3,Rcan3
CABP2,Cabp2
HBA2,Hba-a2
PRKRIP1,Prkrip1
CACNA1H,Cacna1h
ACADSB,Acadsb
MIR345,Mir345
CCT7,Cct7
PEX11B,Pex11b
ALDH18A1,Aldh18a1
ASB13,Asb13
ARPIN,Arpin
WDR60,Wdr60
SNORD71,Snord71
TDP1,Tdp1
DPM1,Dpm1
CCDC107,Ccdc107
BCO2,Bco2
MOGS,Mogs
ACBD3,Acbd3
TRIM29,Trim29
COL6A6,Col6a6
TKTL2,Tktl2
TMEM126B,Tmem126b
AC010761.1,Nek8
PNPLA6,Pnpla6
NKG7,Nkg7
B4GALNT3,B4galnt3
FADS3,Fads3
SWT1,Swt1
CIB3,Cib3
OLAH,Olah
TEC,Tec
DDAH1,Ddah1
IPP,Ipp
TMEM207,Tmem207
LCMT2,Lcmt2
RNU6-929P,Gm23248
RNU6-1109P,Gm23570
FAM160A1,Fam160a1
HAUS8,Haus8
CRTAC1,Crtac1
PLEKHH1,Plekhh1
CHMP6,Chmp6
UGT1A9,Ugt1a9
RAPH1,Raph1
ZNF773,Zfp772
C20orf204,Gm29797
SCT,Sct
RALA,Rala
FBXO44,Fbxo44
KLRG1,Klrg1
SLC30A7,Slc30a7
PMPCA,Pmpca
TMPRSS7,Tmprss7
RMND5B,Rmnd5b
RNU1-73P,Gm26121
ACLY,Acly
HNRNPA1,Hnrnpa1
VTN,Vtn
MC3R,Mc3r
UCK1,Uck1
PROM2,Prom2
SLC24A2,Slc24a2
MRPL20,Mrpl20
NLRP5,Nlrp5
TMEM30B,Tmem30b
PABPC4,Pabpc4
MAP2K4,Map2k4
MAGEE1,Magee1
MIR323A,Mir323
MDC1,Mdc1
UBQLNL,Ubqlnl
RNU4-72P,Gm22479
NAT8B,Cml1
OLFM4,Olfm4
TIAM1,Tiam1
CSNK1D,Csnk1d
KLHL24,Klhl24
GATAD2B,Gatad2b
ACSF3,Acsf3
SERTM1,Sertm1
MARCKSL1,Marcksl1
ZNHIT1,Znhit1
AL035460.1,Gm28372
RNF214,Rnf214
DOCK10,Dock10
IL1RL2,Il1rl2
FAM26E,Fam26e
ASTN1,Astn1
VAV2,Vav2
TYSND1,Tysnd1
TATDN3,Tatdn3
AAMP,Aamp
KLC2,Klc2
LSM14B,Lsm14b
PDE8A,Pde8a
CDK5R2,Cdk5r2
PRSS42,Prss42
CCDC50,Ccdc50
SMAGP,Smagp
SYP,Syp
VEGFC,Vegfc
PABPC4L,Pabpc4l
MBD3L5,Mbd3l2
PAX1,Pax1
KIAA1210,Gm14569
GAS2L2,Gas2l2
DRD2,Drd2
RPPH1-2P,Gm22902
ACP5,Acp5
PDGFA,Pdgfa
KIFC3,Kifc3
SNCB,Sncb
ZNF595,Zfp595
MANBA,Manba
ORAI1,Orai1
PRKAR1A,Prkar1a
ZMIZ1,Zmiz1
CACNA2D4,Cacna2d4
CX3CR1,Cx3cr1
TNFRSF25,Tnfrsf25
TECRL,Tecrl
ZC3H10,Zc3h10
RYR3,Ryr3
CHTF18,Chtf18
CES1,Ces1d
RTN3,Rtn3
LRRC8B,Lrrc8b
BNIP2,Bnip2
SLC25A42,Slc25a42
SPZ1,Spz1
MIR377,Mir377
HNRNPH2,Hnrnph2
PPP1CC,Gm5601
KLHDC3,Klhdc3
ZNF24,Zfp191
CHD9,Chd9
DLX1,Dlx1
RNASEK,Rnasek
TBC1D2,Tbc1d2
NEK8,Nek8
BBS7,Bbs7
AGBL2,Agbl2
MBD6,Mbd6
MBL2,Mbl2
MRPL30,Mrpl30
MRM1,Mrm1
TIMM21,Timm21
COQ10A,Coq10a
AC003665.1,Osbpl7
RF01954,Gm27611
TMEM53,Tmem53
SRMS,Srms
TPT1,Tpt1
DTHD1,Gm17384
USP45,Usp45
FRMD4B,Frmd4b
OR1Q1,Olfr357
LRRC46,Lrrc46
ACOT7,Acot7
PROCR,Procr
CLDN22,Cldn22
MBNL1,Mbnl1
AES,Aes
PREP,Prep
MYOG,Myog
PACS1,Pacs1
ISG15,Isg15
WASF2,Wasf2
SLC23A3,Slc23a3
B9D1,B9d1
